Type	Primary content	Secondary content	Additional content	Inclusion condition	Answer type	Variable name	Answers	extra param
header	Demography							
question		Er du mand eller kvinde?			radio	sex	Mand; Kvinde	
question		Hvilket år er du født? 19			number	birthdate		2
question	Self efficacy				grid		Strongly disagree; Disagree; Neutral; Agree; Strongly agree;	
subquestion		I generally manage to solve difficult physics problems if I try hard enough			radio	efficacy_solving		
subquestion		I know I can stick to my aims and accomplish my goals in physics			radio	efficacy_sticking		
subquestion		I will remain calm in my physics exam because I know I will have the knowledge to solve the problems			radio	efficacy_calm		
subquestion		I know I can pass the physics exam if I put in enough work during the semester			radio	efficacy_pass		
subquestion		"The motto ‘If other people can, I can too’ applies to me when it comes to physics"			radio	efficacy_motto		
question	Symptoms	Har du indenfor de sidste 14 dage haft følgende: (sæt venligst kryds i hver linje)			grid		"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		1)    Smerter/ubehag i skulder/nakke			radio	symptoms_skulder		
subquestion		2)    Smerter/ubehag i ryg og lænd			radio	symptoms_ryg		
subquestion		"3)    Smerter/ubehag i arme, ben, knæ, hofter eller led"			radio	symptoms_arme		
subquestion		4)    Hovedpine			radio	symptoms_hoved		
subquestion		5)    Hurtig hjertebanken			radio	symptoms_hjerte		
subquestion		"6)    Ængstelse, nervøsitet, uro, angst"			radio	symptoms_uro		
subquestion		"7)    Søvnbesvær, søvnproblemer"			radio	symptoms_sovn		
subquestion		"8)    Nedtrykthed, deprimeret, ulykkelig"			radio	symptoms_deprimeret		
subquestion		9)    Træthed			radio	symptoms_traethed		
subquestion		"10) Mavesmerter, ondt i maven"			radio	symptoms_ondt		
subquestion		"11) Fordøjelsesbesvær, tynd/hård mave"			radio	symptoms_mave		
subquestion		"12) Eksem, hududslet, kløe"			radio	symptoms_eksem		
subquestion		"13) Forkølelse, snue, hoste"			radio	symptoms_snue		
subquestion		"14) Åndedrætsbesvær, forpustethed "			radio	symptoms_forpustethed		
question		Ryger du?			dropdown	ryger_freq	"Ja, dagligt; Ja, men ikke dagligt; Nej, men jeg har røget tidligere; Nej, jeg har aldrig røget"	
question					grid	ryger_antal	Antal cigaretter; Cerutter; Cigarer; Pibestop; 	
subquestion		Hvor meget ryger du i gennemsnit om dagen?		"ryger_freq=='Ja, dagligt'"	number	2		
question		Alcohol volume			grid		Mandag;Tirsdag;Onsdag;Torsdag;Fredag;Lorgag;Sontag	
subquestion		Hvor mange genstande drak du på hver af dagene I sidste uge? 	"Skriv 0 ved de dage, hvor du ikke drak alkohol."		number	alco_volume		2
