Type	Primary content	Secondary content	Additional content	Inclusion condition	Answer type	Variable name	Answers	extra param
header	Demography							
question		Er du mand eller kvinde?			radio	sex	Mand; Kvinde	
question		Hvilket år er du født? 19			number	birthdate		2
question	Self efficacy				grid		Strongly disagree; Disagree; Neutral; Agree; Strongly agree;	
subquestion		I generally manage to solve difficult physics problems if I try hard enough			radio	efficacy_solving	Strongly disagree; Disagree; Neutral; Agree; Strongly agree;	
subquestion		I know I can stick to my aims and accomplish my goals in physics			radio	efficacy_sticking	Strongly disagree; Disagree; Neutral; Agree; Strongly agree;	
subquestion		I will remain calm in my physics exam because I know I will have the knowledge to solve the problems			radio	efficacy_calm	Strongly disagree; Disagree; Neutral; Agree; Strongly agree;	
subquestion		I know I can pass the physics exam if I put in enough work during the semester			radio	efficacy_pass	Strongly disagree; Disagree; Neutral; Agree; Strongly agree;	
subquestion		"The motto ‘If other people can, I can too’ applies to me when it comes to physics"			radio	efficacy_motto	Strongly disagree; Disagree; Neutral; Agree; Strongly agree;	
question	Symptoms	Har du indenfor de sidste 14 dage haft følgende: (sæt venligst kryds i hver linje)			grid		"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		Smerter/ubehag i skulder/nakke			radio	symptoms_skulder	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		Smerter/ubehag i ryg og lænd			radio	symptoms_ryg	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Smerter/ubehag i arme, ben, knæ, hofter eller led"			radio	symptoms_arme	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		Hovedpine			radio	symptoms_hoved	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		Hurtig hjertebanken			radio	symptoms_hjerte	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Ængstelse, nervøsitet, uro, angst"			radio	symptoms_uro	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Søvnbesvær, søvnproblemer"			radio	symptoms_sovn	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Nedtrykthed, deprimeret, ulykkelig"			radio	symptoms_deprimeret	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		Træthed			radio	symptoms_traethed	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Mavesmerter, ondt i maven"			radio	symptoms_ondt	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Fordøjelsesbesvær, tynd/hård mave"			radio	symptoms_mave	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Eksem, hududslet, kløe"			radio	symptoms_eksem	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Forkølelse, snue, hoste"			radio	symptoms_snue	"Nej; Ja, lidt generet; Ja, meget generet"	
subquestion		"Åndedrætsbesvær, forpustethed "			radio	symptoms_forpustethed	"Nej; Ja, lidt generet; Ja, meget generet"	
question		Ryger du?			dropdown	ryger_freq	"Ja, dagligt; Ja, men ikke dagligt; Nej, men jeg har røget tidligere; Nej, jeg har aldrig røget"	
question				"ryger_freq=='Ja, dagligt'"	grid		Antal cigaretter; Cerutter; Cigarer; Pibestop; 	
subquestion		Hvor meget ryger du i gennemsnit om dagen?		"ryger_freq=='Ja, dagligt'"	number	ryger_antal	Antal cigaretter; Cerutter; Cigarer; Pibestop; 	2
question		Alcohol volume			grid		Mandag;Tirsdag;Onsdag;Torsdag;Fredag;Lorgag;Sontag	
subquestion		Hvor mange genstande drak du på hver af dagene I sidste uge? 	"Skriv 0 ved de dage, hvor du ikke drak alkohol."		number	alco_volume	Mandag;Tirsdag;Onsdag;Torsdag;Fredag;Lorgag;Sontag	2
