Type	Primary content	Secondary content	Additional content	Inclusion condition	Answer type	Varible name	Variable label	Answers	extra param
									
									
header	Introduktion	 <h4>Kære studerende.</h4><p>Velkommen til spørgeskemaundersøgelsen under SensibleDTU. Mange tak fordi du vil deltage. </p><h5>Instruktion til besvarelse af spørgeskemaet</h5><p>Når du besvarer et spørgsmål i spørgeskemaet vil du automatisk blive sendt videre til næste spørgsmål. Hvis du alligevel mener, at du ikke har besvaret spørgsmålet korrekt, kan du altid gå tilbage og rette i tidligere spørgsmål ved at bruge knappen ’Forrige’.  <strong><i>Du bedes læse spørgsmålene grundigt inden du besvarer dem og du bedes besvare så ærligt som muligt. Det tager ca. 50 minutter at udfylde spørgeskemaet</i></strong>. God fornøjelse.</p><h5>Om undersøgelsen</h5><p>Det overordnede formål er at få viden om din adfærd og trivsel, dine holdninger og forventninger til dit nye studie, din livsstil og dit helbred og om dit sociale netværk. Dine svar behandles fortroligt. Alle som arbejder med undersøgelsen har tavshedspligt og pplysningerne anvendes udelukkende til statistik. </p><p>Med Venlig Hilsen</p><p>Jesper Dammeyer, lektor cand.psych., ph.d, Københavns Universitet (KU)<br/>Rikke Lund, lektor, cand.med., ph.d, KU<br/>David Dreyer Lassen, professor, cand.polit, ph.d, KU<br/>Sune Lehman, lektor, cand.scient, ph.d, Danmarks Tekniske Universitet<br/></p> 				a0_h	introduction		
question		Er du mand eller kvinde?			radio	a1	sex	Mand; Kvinde	
question		Hvilket år er du født?			number	a2	birthyear	19___	44; 96
question		Bor du alene?			radio	a3	live_alone	Ja; Nej	
header		 Nu følger nogle spørgsmål, som handler om dit nye studie på DTU. 				a4_h	new_study		
question		Kender du andre af de nye studerende på DTU i forvejen?	Her tænkes på nye studerende på alle studieretninger inklusiv din egen.		radio	a4	know_other	Ja; Nej	
question		Hvor mange?		know_other=='ja'	number	a4a	know_other_number	Antal____	1; 100
question		 I forbindelse med møde af nye studiekammerater, betyder det noget for et evt. venskab og samarbejde, at personen er fagligt kompetent, dvs. at han/hun er dygtig og/eller er hårdtarbejdende?<br> Mine studiekammeraters faglighed er: 			radio	a5	homophily_competent	 meget vigtig for mig; vigtig for mig; ikke så vigtig for mig; er ligegyldig; ved ikke 	
question		 Lægger du vægt på, at de studiekammerater du vil omgås med fra DTU, er nogen som du hygger dig med? Muligheden for at hygge mig sammen med mine studiekammerater er: 			radio	a6	homophily_socialize	 meget vigtig for mig; vigtig for mig; ikke så vigtig for mig; er ligegyldig; ved ikke 	
question		 Hvad mener du, er de vigtigste egenskaber ved nye studiekammarater? Faglige evner eller hvor meget I hygger jer?<br>Mine studiekammeraters 			radio	a7	homophily_importance	 faglighed er meget vigtigere end hvor meget vi hygger os; faglighed er vigtigere end hvor meget vi hygger os; faglighed er lige så vigtig som hvor meget vi hygger os; hvor meget vi hygger os er vigtigere end faglighed; hvor meget vi hygger os er meget vigtigere end faglighed; ved ikke 	
