Type	Primary content	Secondary content	Additional content	Inclusion condition	Answer type	Varible name	Variable label	Answers	extra param
									
									
header	Introduktion	WE NEED TO WRITE THIS				a0_h	introduction		
question		Er du mand eller kvinde?			radio	a1	sex	Mand; Kvinde	
question		Hvilket år er du født?			number	a2	birthyear	19___	99
question		Bor du alene?			radio	a3	live_alone	Ja; Nej	
header		"Nu følger nogle spørgsmål, som handler om dit nye studie på DTU."				a4_h	new_study		
question		Kender du andre af de nye studerende på DTU i forvejen?	Her tænkes på nye studerende på alle studieretninger på DTU inklusiv din egen.		radio	a4	know_other	Ja; Nej	
question		Hvor mange?		know_other=='ja'	number	a4a	know_other_number	Antal____	100
question		"I forbindelse med møde af nye studiekammerater, betyder det noget for et evt. venskab og samarbejde at personen er fagligt kompetent, dvs. at han/hun er dygtig og/eller er hårdtarbejdende? Mine studiekammeraters faglighed er:"			radio	a5	homophily_competent	meget vigtig for mig; vigtig for mig; ikke så vigtig for mig; er ligegyldig; ved ikke	
question		"Lægger du vægt på at de studiekammerater du vil omgås med fra DTU, er nogen som du hygger dig med? Muligheden for at hygge mig sammen med mine studiekammerater er:"			radio	a6	homophily_socialize	meget vigtig for mig; vigtig for mig; ikke så vigtig for mig; er ligegyldig; ved ikke	
question		Hvad mener du er vigtigst for dig for evt. studiekammerater; faglige evner eller hvor meget I hygger jer? Mine studiekammeraters:			radio	a7	homophily_importance	faglighed er meget vigtigere end hvor meget vi hygger os; faglighed er vigtigere end hvor meget vi hygger os; faglighed er lige så vigtig som hvor meget vi hygger os; hvor meget vi hygger os er vigtigere end faglighed; hvor meget vi hygger os er meget vigtigere end faglighed; ved ikke	
question		"Ved møde af studiekammerater, har det nogen betydning for et evt. venskab og samarbejde at personen ikke er af samme køn som dig selv? At en studiekammerat ikke er af samme køn som mig har:"			radio	a8	homophily_sex	stor positiv betydning for et evt. venskab og samarbejde; lille positiv betydning for et evt. venskab og samarbejde; ingen betydning for et evt. venskab og samarbejde; lille negativ betydning for et evt. venskab og samarbejde; stor negativ betydning for et evt. venskab og samarbejde; ved ikke	
question		"Vurderer du at i mødet med nye studiekammerater, at det har nogen betydning for evt. venskab og samarbejde at personen har haft samme opvækst som dig? At en studiekammerat ikke har haft samme opvækst som dig betyder:"			radio	a9	homophily_upbringing	noget positivt for et evt. venskab og samarbejde; intet for et evt. venskab og samarbejde; noget negativt for et evt. venskab og samarbejde; ved ikke	
question		Har nogle af følgende områder indenfor personens opvækst betydning for et evt. venskab eller samarbejde?	Sæt gerne flere krydser	homofili_upbringing=='noget positivt for et evt. venskab og samarbejde' | 'noget negativt for et evt. venskab og samarbejde' 	checklist	a9a	homophily_upbringing_family	"Familiens økonomiske baggrund; Familiens uddannelsesmæssige baggrund; Familiens politiske tilhørsforhold; Etnisk oprindelse; Religion; ’Ingen af disse områder har betydning’ "	1
question					grid	a10	self_efficacy	Helt uenig; Uenig; Hverken enig eller uenig; Enig; Helt enig	
subquestion		"Normalt er jeg i stand til at løse svære, faglige opgaver, hvis jeg prøver hårdt nok"			radio	a10a	self_efficacy_problems	Helt uenig; Uenig; Hverken enig eller uenig; Enig; Helt enig	
